id,created_at,carrera_cbtis,ranking_holland,perfil_top3,metodo_recomend,carrera_rec_1,carrera_rec_2,carrera_rec_3,carrera_rec_4,carrera_rec_5,considerada_1,considerada_2,considerada_3,escogida_1,escogida_2,escogida_3,utilidad_general
6,2026-04-14 20:18:45.102579+00,Ofimatica,"S,A,I,R,E,C",SAI,red_neuronal,Lic. en Música,Lic. en Actuación,Lic. en Docencia del Idioma Inglés,Lic. en Docencia de Francés y Español,Lic. en Psicología,No,No,Si,No,Si,Si,"Si, me ayudaron a aclarar mis opciones"
7,2026-04-14 20:21:50.951519+00,Programacion,"E,C,R,I,A,S",ECR,red_neuronal,Lic. en Agronegocios,Ing. Industrial Estadístico,Ing. Civil,Lic. en Logística Empresarial,Ing. en Manufactura y Automatización Industrial,No,Si,Si,No,Tal vez,Si,"Si, me ayudaron a aclarar mis opciones"
8,2026-04-14 20:23:27.6737+00,Programacion,"S,E,C,R,I,A",SEC,red_neuronal,Lic. en Relaciones Industriales,Lic. en Derecho,Lic. en Administración y Gestión Fiscal de PYMES,Lic. en Comercio Internacional,Lic. en Trabajo Social,No,No,Si,No,No,Si,"No, las opciones no encajan con mis intereses"
9,2026-04-14 20:25:11.239747+00,Programacion,"I,R,A,E,C,S",IRA,red_neuronal,Ing. en Computación Inteligente,Lic. en Desarrollo de Videojuegos y Entornos Virtuales,Ing. en Sistemas Computacionales,Ing. Robótica,Lic. en Diseño Industrial,Si,Si,Si,Si,Si,Si,"Si, me ayudaron a aclarar mis opciones"
10,2026-04-14 20:31:04.284211+00,Programacion,"E,R,I,C,A,S",ERI,red_neuronal,Ing. en Electrónica,Ing. Automotriz,Ing. en Diseño Mecánico,Lic. en Agronegocios,Ing. Industrial Estadístico,No,No,No,No,No,No,"Si, me ayudaron a aclarar mis opciones"
11,2026-04-14 20:31:51.373476+00,Programacion,"I,R,A,E,S,C",IRA,red_neuronal,Lic. en Desarrollo de Videojuegos y Entornos Virtuales,Lic. en Música,Ing. en Sistemas Computacionales,Lic. en Arquitectura,Ing. en Computación Inteligente,Si,No,Si,Si,No,Si,"Si, me ayudaron a aclarar mis opciones"
12,2026-04-14 20:35:27.899049+00,Ofimatica,"S,I,R,A,E,C",SIR,red_neuronal,Lic. en Enfermería,Lic. en Música,Lic. en Terapia Física,Médico Veterinario Zootecnista,Lic. en Biología,No,Si,Si,No,Si,Si,"Fueron algo utiles, pero aun tengo dudas"
13,2026-04-14 20:36:28.496784+00,Ofimatica,"E,R,I,C,A,S",ERI,red_neuronal,Ing. en Electrónica,Ing. Automotriz,Ing. en Diseño Mecánico,Lic. en Agronegocios,Ing. Industrial Estadístico,No,No,No,No,No,No,"Fueron algo utiles, pero aun tengo dudas"
14,2026-04-14 20:38:00.998211+00,Ofimatica,"E,C,R,I,S,A",ECR,red_neuronal,Lic. en Agronegocios,Ing. Industrial Estadístico,Ing. Civil,Ing. en Manufactura y Automatización Industrial,Lic. en Logística Empresarial,Si,Si,Si,Si,Si,Si,"Si, me ayudaron a aclarar mis opciones"
15,2026-04-14 20:42:10.799322+00,Programacion,"I,R,E,S,A,C",IRE,red_neuronal,Ing. Biomédica,Médico Veterinario Zootecnista,Ing. Bioquímico,Médico Estomatólogo,Ing. Agrónomo,No,No,No,No,Tal vez,No,"No, las opciones no encajan con mis intereses"
16,2026-04-14 20:46:18.229352+00,Programacion,"E,I,R,S,C,A",EIR,red_neuronal,Ing. Biomédica,Ing. Bioquímico,Ing. Automotriz,Ing. en Computación Inteligente,Ing. Agrónomo,No,No,No,Tal vez,No,Tal vez,"Si, me ayudaron a aclarar mis opciones"
17,2026-04-14 20:49:03.722099+00,Ofimatica,"R,I,C,E,S,A",RIC,red_neuronal,Ing. Agrónomo,Ing. en Energías Renovables,Lic. en Biotecnología,Ing. en Alimentos,Ing. Bioquímico,No,No,No,No,No,Si,"No, las opciones no encajan con mis intereses"
18,2026-04-14 20:54:27.802793+00,Ofimatica,"S,I,E,A,R,C",SIE,red_neuronal,Lic. en Psicología,Lic. en Ciencias Políticas y Administración Pública,Lic. en Relaciones Industriales,Lic. en Docencia de Francés y Español,Lic. en Docencia del Idioma Inglés,No,No,No,No,No,No,"Fueron algo utiles, pero aun tengo dudas"
19,2026-04-14 21:17:02.539847+00,Programacion,"S,E,R,C,A,I",SER,red_neuronal,Lic. en Cultura Física y Deporte,Lic. en Gestión Turística,Lic. en Comunicación Corporativa Estratégica,Lic. en Comercio Internacional,Lic. en Terapia Física,No,No,No,Tal vez,No,No,"Fueron algo utiles, pero aun tengo dudas"
20,2026-04-14 21:47:00.667569+00,Programacion,"A,I,E,R,C,S",AIE,red_neuronal,Lic. en Desarrollo de Videojuegos y Entornos Virtuales,Lic. en Diseño Industrial,Lic. en Filosofía,Lic. en Letras Hispánicas,Lic. en Arquitectura,Si,No,No,Tal vez,No,No,"Fueron algo utiles, pero aun tengo dudas"
21,2026-04-14 21:49:02.911002+00,Programacion,"R,A,S,E,I,C",RAS,red_neuronal,Lic. en Música,Lic. en Artes Cinematográficas y Audiovisuales,Lic. en Actuación,Médico Estomatólogo,Médico Veterinario Zootecnista,Si,Si,Si,Si,Si,Si,"Si, me ayudaron a aclarar mis opciones"
22,2026-04-14 21:59:10.862876+00,Ofimatica,"S,E,A,I,R,C",SEA,red_neuronal,Lic. en Psicología,Lic. en Actuación,Lic. en Comunicación e Información,Lic. en Comunicación Corporativa Estratégica,Lic. en Trabajo Social,Si,No,Si,Si,No,Si,"Si, me ayudaron a aclarar mis opciones"
23,2026-04-14 21:59:28.535814+00,Ofimatica,"I,R,C,E,A,S",IRC,red_neuronal,Ing. en Computación Inteligente,Ing. en Sistemas Computacionales,Lic. en Biotecnología,Ing. en Alimentos,Ing. Robótica,Si,Si,No,Si,Si,Tal vez,"Si, me ayudaron a aclarar mis opciones"
24,2026-04-14 22:04:34.247539+00,Programacion,"S,C,E,I,R,A",SCE,red_neuronal,Lic. en Relaciones Industriales,Lic. en Trabajo Social,Lic. en Administración y Gestión Fiscal de PYMES,Lic. en Nutrición,Lic. en Administración Financiera,No,No,No,No,No,No,"No, las opciones no encajan con mis intereses"
25,2026-04-14 22:06:26.283542+00,Ofimatica,"E,S,A,R,I,C",ESA,red_neuronal,Lic. en Cultura Física y Deporte,Lic. en Diseño de Interiores,Lic. en Actuación,Lic. en Diseño Gráfico,Lic. en Comunicación Corporativa Estratégica,No,Si,Si,No,Tal vez,Si,"Si, me ayudaron a aclarar mis opciones"
